ID,Target_07_AUC,Target_90_AUC,Target_120_AUC,Target_07_LogLoss,Target_90_LogLoss,Target_120_LogLoss
ID_OQZATP,0.009917235345544664,0.008363207307237275,0.011105121955240275,0.009917235345544664,0.008363207307237275,0.011105121955240275
ID_2FAI5D,0.9586860116418368,0.9548177501813276,0.9512301216155409,0.9586860116418368,0.9548177501813276,0.9512301216155409
ID_MYUWBW,0.9413618648120983,0.9342255956557902,0.9259016134367288,0.9413618648120983,0.9342255956557902,0.9259016134367288
ID_EUB4FR,0.08146467777236646,0.09242607730068489,0.0864418328631304,0.08146467777236646,0.09242607730068489,0.0864418328631304
ID_AG7R5S,0.9709038511639871,0.9644046638431815,0.9658181860331225,0.9709038511639871,0.9644046638431815,0.9658181860331225
ID_RX9404,0.010026208411817469,0.09920444098552009,0.11011853157188736,0.010026208411817469,0.09920444098552009,0.11011853157188736
ID_GTJSCM,0.2109081823868081,0.18315416054082775,0.1775374377519485,0.2109081823868081,0.18315416054082775,0.1775374377519485
ID_VQVR0B,0.017118064988691915,0.16424156766951123,0.17455058275441518,0.017118064988691915,0.16424156766951123,0.17455058275441518
ID_F0DMEL,0.02100099101459493,0.20690311292673705,0.2229544021998293,0.02100099101459493,0.20690311292673705,0.2229544021998293
ID_MPKV6S,0.955709116270596,0.9541537528293129,0.9401379085798073,0.955709116270596,0.9541537528293129,0.9401379085798073
ID_0QTD8T,0.7659442233777783,0.7150167130777807,0.6894247306854913,0.7659442233777783,0.7150167130777807,0.6894247306854913
ID_EQ23XP,0.017188558469263496,0.08999960749548355,0.13573510666150926,0.017188558469263496,0.08999960749548355,0.13573510666150926
ID_A07Z1J,0.019828136187403998,0.1620373456781415,0.16954252250539215,0.019828136187403998,0.1620373456781415,0.16954252250539215
ID_1CZ70R,0.0216096249470858,0.20519229355995164,0.22831963929436813,0.0216096249470858,0.20519229355995164,0.22831963929436813
ID_LCVINC,0.06852190991539325,0.06411658573565471,0.05867017778216111,0.06852190991539325,0.06411658573565471,0.05867017778216111
ID_OCOIXR,0.9404994445448173,0.9253596515688227,0.9228118552219018,0.9404994445448173,0.9253596515688227,0.9228118552219018
ID_O80MG4,0.04318297411844007,0.03787817343019926,0.030341222865755205,0.04318297411844007,0.03787817343019926,0.030341222865755205
ID_JYQBXV,0.014155556120653338,0.014253846246841948,0.016479304210129515,0.014155556120653338,0.014253846246841948,0.016479304210129515
