ID,Target_07_AUC,Target_90_AUC,Target_120_AUC,Target_07_LogLoss,Target_90_LogLoss,Target_120_LogLoss
ID_OQZATP,0.008208624337965181,0.010855641740838435,0.01106580951718324,0.008208624337965181,0.010855641740838435,0.01106580951718324
ID_2FAI5D,0.9591049676956857,0.951188326467948,0.9332853558867484,0.9591049676956857,0.951188326467948,0.9332853558867484
ID_MYUWBW,0.9411915439558178,0.9305627845599426,0.9141173569651482,0.9411915439558178,0.9305627845599426,0.9141173569651482
ID_EUB4FR,0.07472977758346255,0.09638062441766959,0.07001788362245345,0.07472977758346255,0.09638062441766959,0.07001788362245345
ID_AG7R5S,0.9698617447131398,0.960919047720634,0.9674666547354551,0.9698617447131398,0.960919047720634,0.9674666547354551
ID_RX9404,0.009645389684799659,0.10856687823640594,0.08737677317254147,0.009645389684799659,0.10856687823640594,0.08737677317254147
ID_GTJSCM,0.19258961994828508,0.19212613731502154,0.1611182859993934,0.19258961994828508,0.19212613731502154,0.1611182859993934
ID_VQVR0B,0.014007150371379895,0.15759934524529998,0.12632958253456752,0.014007150371379895,0.15759934524529998,0.12632958253456752
ID_F0DMEL,0.01710399601931906,0.21023109918251676,0.1807541315647897,0.01710399601931906,0.21023109918251676,0.1807541315647897
ID_MPKV6S,0.9461094549151994,0.9519867534404292,0.9379118517006695,0.9461094549151994,0.9519867534404292,0.9379118517006695
ID_0QTD8T,0.7940107488450858,0.6725390960216847,0.6416910977791336,0.7940107488450858,0.6725390960216847,0.6416910977791336
ID_EQ23XP,0.013308981060047995,0.09609952130077574,0.10884611067474319,0.013308981060047995,0.09609952130077574,0.10884611067474319
ID_A07Z1J,0.014795851691767515,0.16274187578474453,0.12170111076308779,0.014795851691767515,0.16274187578474453,0.12170111076308779
ID_1CZ70R,0.01705980411478051,0.2106808994145573,0.1864954302093521,0.01705980411478051,0.2106808994145573,0.1864954302093521
ID_LCVINC,0.05694152134660105,0.06826056441607012,0.04458526834580891,0.05694152134660105,0.06826056441607012,0.04458526834580891
ID_OCOIXR,0.939192414263759,0.9222437080628461,0.9162285245635153,0.939192414263759,0.9222437080628461,0.9162285245635153
ID_O80MG4,0.039859974077150195,0.040906593464759514,0.025936161841770503,0.039859974077150195,0.040906593464759514,0.025936161841770503
ID_JYQBXV,0.016322791973209048,0.015093197105183604,0.012310059092633753,0.016322791973209048,0.015093197105183604,0.012310059092633753
ID_H0RGNM,0.00959903608512414,0.0100354269076555,0.007942009341651925,0.00959903608512414,0.0100354269076555,0.007942009341651925
ID_XJFO8M,0.9720857563525362,0.9696775895880909,0.9642231788735245,0.9720857563525362,0.9696775895880909,0.9642231788735245
